# distance [deg], low_sys_1 [cm-2 s-1], low_sys_2, mid_sys_1, mid_sys_2, high_sys_1, high_sys_2
-6.883767535070139942e-01,6.990925250286908170e-15,2.044659437502219460e-14,1.284867206451620444e-16,1.694016651570258471e-15,-1.248955119286962829e-18,2.317760952117436697e-17
-6.823647294589177958e-01,7.767757435591016460e-15,2.150976680899069412e-14,1.574355104681559829e-16,1.819726098512286037e-15,-1.359658603146621748e-18,2.638254851111633959e-17
-6.763527054108215975e-01,8.622967680049838060e-15,2.263042492979000023e-14,1.919088291869268928e-16,1.954293819223592598e-15,-1.462309198393506152e-18,2.998338708777178783e-17
-6.703406813627255101e-01,9.555717764381859050e-15,2.381342463834922048e-14,2.322185625942786573e-16,2.098523378050042942e-15,-1.553517129805725780e-18,3.402617500608384312e-17
-6.643286573146293117e-01,1.057125287693252800e-14,2.506821185662939379e-14,2.791345020568848385e-16,2.254365926682019015e-15,-1.627388987027167276e-18,3.861437154240879947e-17
-6.583166332665331133e-01,1.167459669109349200e-14,2.639764478573201585e-14,3.335245433739518942e-16,2.422291404749983854e-15,-1.676844430803698333e-18,4.377991902729745999e-17
-6.523046092184369149e-01,1.287302035648364484e-14,2.780539527132152920e-14,3.965919368972308376e-16,2.602987460336470262e-15,-1.687592697973711425e-18,4.956020737366502087e-17
-6.462925851703407165e-01,1.417749241073029066e-14,2.929688876932385360e-14,4.700851963463548134e-16,2.797651192956210286e-15,-1.628923079929145094e-18,5.602241440759849886e-17
-6.402805611222445181e-01,1.558186316256111321e-14,3.088121174628243423e-14,5.541902791908105311e-16,3.008188495799287233e-15,-1.496263275083206936e-18,6.326003653299023926e-17
-6.342685370741483197e-01,1.708794228970258931e-14,3.256381023303281605e-14,6.500087643639109931e-16,3.236343558107419542e-15,-1.269660761008451252e-18,7.136224746530592655e-17
-6.282565130260521213e-01,1.869578870116549729e-14,3.434891058839067539e-14,7.586699504127594081e-16,3.484068873936912937e-15,-9.243484267235170711e-19,8.047328014242345510e-17
-6.222444889779559229e-01,2.040542632319705269e-14,3.623801815530291612e-14,8.815502327685547327e-16,3.752178311459874345e-15,-4.237152612526610996e-19,9.065596627795915527e-17
-6.162324649298597246e-01,2.222112107694818023e-14,3.823238971805457164e-14,1.021321381199192571e-15,4.041427956716656243e-15,3.092607110913886094e-19,1.019630082291351467e-16
